施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
稗粒腫（はいりゅうしゅ）除去→マイクロボトックス,稗粒腫（はいりゅうしゅ）除去,マイクロボトックス,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
ヴェルヴェットスキン→マイクロボトックス,ヴェルヴェットスキン,マイクロボトックス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
ダーマペン4→マイクロボトックス,ダーマペン4,マイクロボトックス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
HARG療法→マイクロボトックス,HARG療法,マイクロボトックス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
スカルプ・プラセンタエッセンス→マイクロボトックス,スカルプ・プラセンタエッセンス,マイクロボトックス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
コラーゲンピール（マッサージピール）→マイクロボトックス,コラーゲンピール（マッサージピール）,マイクロボトックス,同部位,翌日,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
サーマクール→マイクロボトックス,サーマクール,マイクロボトックス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
ミラドライ→マイクロボトックス,ミラドライ,マイクロボトックス,同部位,1か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
医療レーザー脱毛→マイクロボトックス,医療レーザー脱毛,マイクロボトックス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
タトゥー除去（刺青除去）→マイクロボトックス,タトゥー除去（刺青除去）,マイクロボトックス,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
アートメイク→マイクロボトックス,アートメイク,マイクロボトックス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ
ハイドラジェントル→フラルスキン（部分シミ）,ハイドラジェントル,フラルスキン（部分シミ）,同部位,翌日,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ケミカルピーリング→フラルスキン（部分シミ）,ケミカルピーリング,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,併用しない場合／別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
スマートサイドドットレーザー（2回目以降）→フラルスキン（部分シミ）,スマートサイドドットレーザー（2回目以降）,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
スマートサイドドットレーザー（初回）→フラルスキン（部分シミ）,スマートサイドドットレーザー（初回）,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
イボレーザー（炭酸ガス／CO2レーザー）→フラルスキン（部分シミ）,イボレーザー（炭酸ガス／CO2レーザー）,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
シミ取りレーザー→フラルスキン（部分シミ）,シミ取りレーザー,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ADM治療（ピコレーザー）→フラルスキン（部分シミ）,ADM治療（ピコレーザー）,フラルスキン（部分シミ）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ADM治療（ナノレーザー・メドライトC6）→フラルスキン（部分シミ）,ADM治療（ナノレーザー・メドライトC6）,フラルスキン（部分シミ）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
レーザートーニング→フラルスキン（部分シミ）,レーザートーニング,フラルスキン（部分シミ）,同部位,開始：1週間 再開：直後,条件付き,,開始時と再開時で必要な間隔が異なります,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ピコトーニング→フラルスキン（部分シミ）,ピコトーニング,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ピコフラクショナル（1064nm）→フラルスキン（部分シミ）,ピコフラクショナル（1064nm）,フラルスキン（部分シミ）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
そばかすシャワー（532レーザー）→フラルスキン（部分シミ）,そばかすシャワー（532レーザー）,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
そばかすスポット照射→フラルスキン（部分シミ）,そばかすスポット照射,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
フォトフェイシャル（光治療）→フラルスキン（部分シミ）,フォトフェイシャル（光治療）,フラルスキン（部分シミ）,同部位,開始：1週間 再開：直後,条件付き,,開始時と再開時で必要な間隔が異なります,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
赤み治療（血管腫レーザー）→フラルスキン（部分シミ）,赤み治療（血管腫レーザー）,フラルスキン（部分シミ）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ボトックス注射（通常）→フラルスキン（部分シミ）,ボトックス注射（通常）,フラルスキン（部分シミ）,同部位,同日,可,,,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
マイクロボトックス→フラルスキン（部分シミ）,マイクロボトックス,フラルスキン（部分シミ）,同部位,同日,可,,,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
テノールNEO（テノールネオ）→フラルスキン（部分シミ）,テノールNEO（テノールネオ）,フラルスキン（部分シミ）,同部位,開始：1週間 再開：直後,条件付き,,開始時と再開時で必要な間隔が異なります,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
フラルスキン（トレチノイン）→フラルスキン（部分シミ）,フラルスキン（トレチノイン）,フラルスキン（部分シミ）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
部分シミ治療（トレチノイン）→フラルスキン（部分シミ）,部分シミ治療（トレチノイン）,フラルスキン（部分シミ）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
mikoメソッド（首いぼ治療）→フラルスキン（部分シミ）,mikoメソッド（首いぼ治療）,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ほくろ切除・ほくろ除去→フラルスキン（部分シミ）,ほくろ切除・ほくろ除去,フラルスキン（部分シミ）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ボライト（スキンブースター）→フラルスキン（部分シミ）,ボライト（スキンブースター）,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
稗粒腫（はいりゅうしゅ）除去→フラルスキン（部分シミ）,稗粒腫（はいりゅうしゅ）除去,フラルスキン（部分シミ）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ヴェルヴェットスキン→フラルスキン（部分シミ）,ヴェルヴェットスキン,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ダーマペン4→フラルスキン（部分シミ）,ダーマペン4,フラルスキン（部分シミ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
HARG療法→フラルスキン（部分シミ）,HARG療法,フラルスキン（部分シミ）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
スカルプ・プラセンタエッセンス→フラルスキン（部分シミ）,スカルプ・プラセンタエッセンス,フラルスキン（部分シミ）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
コラーゲンピール（マッサージピール）→フラルスキン（部分シミ）,コラーゲンピール（マッサージピール）,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
サーマクール→フラルスキン（部分シミ）,サーマクール,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ミラドライ→フラルスキン（部分シミ）,ミラドライ,フラルスキン（部分シミ）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
医療レーザー脱毛→フラルスキン（部分シミ）,医療レーザー脱毛,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
タトゥー除去（刺青除去）→フラルスキン（部分シミ）,タトゥー除去（刺青除去）,フラルスキン（部分シミ）,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
アートメイク→フラルスキン（部分シミ）,アートメイク,フラルスキン（部分シミ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,フラルスキン・部分シミ・トレチノイン・ハイドロキノン
ハイドラジェントル→テノールNEO（テノールネオ）,ハイドラジェントル,テノールNEO（テノールネオ）,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ケミカルピーリング→テノールNEO（テノールネオ）,ケミカルピーリング,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,テノールネオ・テノールNEO・テノール・たるみ・引き締め
スマートサイドドットレーザー（2回目以降）→テノールNEO（テノールネオ）,スマートサイドドットレーザー（2回目以降）,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,テノールネオ・テノールNEO・テノール・たるみ・引き締め
スマートサイドドットレーザー（初回）→テノールNEO（テノールネオ）,スマートサイドドットレーザー（初回）,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,テノールネオ・テノールNEO・テノール・たるみ・引き締め
イボレーザー（炭酸ガス／CO2レーザー）→テノールNEO（テノールネオ）,イボレーザー（炭酸ガス／CO2レーザー）,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,テノールネオ・テノールNEO・テノール・たるみ・引き締め
シミ取りレーザー→テノールNEO（テノールネオ）,シミ取りレーザー,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ADM治療（ピコレーザー）→テノールNEO（テノールネオ）,ADM治療（ピコレーザー）,テノールNEO（テノールネオ）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ADM治療（ナノレーザー・メドライトC6）→テノールNEO（テノールネオ）,ADM治療（ナノレーザー・メドライトC6）,テノールNEO（テノールネオ）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,テノールネオ・テノールNEO・テノール・たるみ・引き締め
レーザートーニング→テノールNEO（テノールネオ）,レーザートーニング,テノールNEO（テノールネオ）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ピコトーニング→テノールNEO（テノールネオ）,ピコトーニング,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ピコフラクショナル（1064nm）→テノールNEO（テノールネオ）,ピコフラクショナル（1064nm）,テノールNEO（テノールネオ）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,テノールネオ・テノールNEO・テノール・たるみ・引き締め
そばかすシャワー（532レーザー）→テノールNEO（テノールネオ）,そばかすシャワー（532レーザー）,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,テノールネオ・テノールNEO・テノール・たるみ・引き締め
そばかすスポット照射→テノールNEO（テノールネオ）,そばかすスポット照射,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,テノールネオ・テノールNEO・テノール・たるみ・引き締め
フォトフェイシャル（光治療）→テノールNEO（テノールネオ）,フォトフェイシャル（光治療）,テノールNEO（テノールネオ）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,テノールネオ・テノールNEO・テノール・たるみ・引き締め
赤み治療（血管腫レーザー）→テノールNEO（テノールネオ）,赤み治療（血管腫レーザー）,テノールNEO（テノールネオ）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ボトックス注射（通常）→テノールNEO（テノールネオ）,ボトックス注射（通常）,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
マイクロボトックス→テノールNEO（テノールネオ）,マイクロボトックス,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
テノールNEO（テノールネオ）→テノールNEO（テノールネオ）,テノールNEO（テノールネオ）,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,テノールネオ・テノールNEO・テノール・たるみ・引き締め
フラルスキン（トレチノイン）→テノールNEO（テノールネオ）,フラルスキン（トレチノイン）,テノールNEO（テノールネオ）,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,テノールネオ・テノールNEO・テノール・たるみ・引き締め
部分シミ治療（トレチノイン）→テノールNEO（テノールネオ）,部分シミ治療（トレチノイン）,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
mikoメソッド（首いぼ治療）→テノールNEO（テノールネオ）,mikoメソッド（首いぼ治療）,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ほくろ切除・ほくろ除去→テノールNEO（テノールネオ）,ほくろ切除・ほくろ除去,テノールNEO（テノールネオ）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ボライト（スキンブースター）→テノールNEO（テノールネオ）,ボライト（スキンブースター）,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,テノールネオ・テノールNEO・テノール・たるみ・引き締め
稗粒腫（はいりゅうしゅ）除去→テノールNEO（テノールネオ）,稗粒腫（はいりゅうしゅ）除去,テノールNEO（テノールネオ）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ヴェルヴェットスキン→テノールNEO（テノールネオ）,ヴェルヴェットスキン,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ダーマペン4→テノールNEO（テノールネオ）,ダーマペン4,テノールNEO（テノールネオ）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,テノールネオ・テノールNEO・テノール・たるみ・引き締め
HARG療法→テノールNEO（テノールネオ）,HARG療法,テノールNEO（テノールネオ）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,テノールネオ・テノールNEO・テノール・たるみ・引き締め
スカルプ・プラセンタエッセンス→テノールNEO（テノールネオ）,スカルプ・プラセンタエッセンス,テノールNEO（テノールネオ）,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,テノールネオ・テノールNEO・テノール・たるみ・引き締め
コラーゲンピール（マッサージピール）→テノールNEO（テノールネオ）,コラーゲンピール（マッサージピール）,テノールNEO（テノールネオ）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
サーマクール→テノールNEO（テノールネオ）,サーマクール,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ミラドライ→テノールNEO（テノールネオ）,ミラドライ,テノールNEO（テノールネオ）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,テノールネオ・テノールNEO・テノール・たるみ・引き締め
医療レーザー脱毛→テノールNEO（テノールネオ）,医療レーザー脱毛,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,テノールネオ・テノールNEO・テノール・たるみ・引き締め
タトゥー除去（刺青除去）→テノールNEO（テノールネオ）,タトゥー除去（刺青除去）,テノールNEO（テノールネオ）,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,テノールネオ・テノールNEO・テノール・たるみ・引き締め
アートメイク→テノールNEO（テノールネオ）,アートメイク,テノールNEO（テノールネオ）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,テノールネオ・テノールNEO・テノール・たるみ・引き締め
ハイドラジェントル→mikoメソッド（首いぼ治療）,ハイドラジェントル,mikoメソッド（首いぼ治療）,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
ケミカルピーリング→mikoメソッド（首いぼ治療）,ケミカルピーリング,mikoメソッド（首いぼ治療）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
スマートサイドドットレーザー（2回目以降）→mikoメソッド（首いぼ治療）,スマートサイドドットレーザー（2回目以降）,mikoメソッド（首いぼ治療）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
スマートサイドドットレーザー（初回）→mikoメソッド（首いぼ治療）,スマートサイドドットレーザー（初回）,mikoメソッド（首いぼ治療）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ
